Frequency (Hz),Magnitude (dB)
10.000000,-46.041115
10.263726,-45.589337
10.534407,-45.137606
10.812227,-44.685926
11.097374,-44.234304
11.390041,-43.782744
11.690426,-43.331255
11.998733,-42.879844
12.315171,-42.428518
12.639954,-41.977289
12.973302,-41.526166
13.315442,-41.075160
13.666605,-40.624285
14.027029,-40.173555
14.396959,-39.722985
14.776644,-39.272593
15.166343,-38.822398
15.566319,-38.372422
15.976843,-37.922689
16.398194,-37.473224
16.830658,-37.024058
17.274526,-36.575221
17.730100,-36.126750
18.197689,-35.678683
18.677610,-35.231066
19.170187,-34.783945
19.675755,-34.337374
20.194656,-33.891411
20.727242,-33.446122
21.273874,-33.001578
21.834921,-32.557857
22.410765,-32.115047
23.001796,-31.673243
23.608413,-31.232549
24.231028,-30.793082
24.870064,-30.354967
25.525952,-29.918344
26.199138,-29.483364
26.890078,-29.050192
27.599240,-28.619011
28.327104,-28.190016
29.074163,-27.763421
29.840925,-27.339460
30.627908,-26.918382
31.435646,-26.500459
32.264686,-26.085982
33.115590,-25.675262
33.988935,-25.268633
34.885312,-24.866450
35.805328,-24.469087
36.749608,-24.076940
37.718792,-23.690422
38.713535,-23.309966
39.734512,-22.936017
40.782414,-22.569033
41.857953,-22.209481
42.961857,-21.857831
44.094873,-21.514552
45.257770,-21.180110
46.451336,-20.854954
47.676379,-20.539519
48.933729,-20.234211
50.224239,-19.939406
51.548784,-19.655442
52.908260,-19.382611
54.303589,-19.121154
55.735716,-18.871259
57.205612,-18.633051
58.714274,-18.406597
60.262723,-18.191899
61.852008,-17.988895
63.483207,-17.797461
65.157425,-17.617414
66.875796,-17.448516
68.639486,-17.290478
70.449688,-17.142964
72.307630,-17.005602
74.214571,-16.877984
76.171803,-16.759680
78.180653,-16.650239
80.242481,-16.549199
82.358684,-16.456088
84.530698,-16.370437
86.759993,-16.291780
89.048081,-16.219656
91.396511,-16.153621
93.806876,-16.093240
96.280808,-16.038099
98.819984,-15.987802
101.426125,-15.941973
104.100997,-15.900255
106.846412,-15.862313
109.664231,-15.827836
112.556363,-15.796530
115.524768,-15.768124
118.571458,-15.742365
121.698497,-15.719020
124.908004,-15.697874
128.202154,-15.678729
131.583180,-15.661404
135.053372,-15.645731
138.615082,-15.631558
142.270724,-15.618746
146.022774,-15.607167
149.873776,-15.596705
153.826339,-15.587256
157.883141,-15.578722
162.046932,-15.571017
166.320532,-15.564062
170.706839,-15.557783
175.208824,-15.552118
179.829538,-15.547005
184.572113,-15.542392
189.439761,-15.538230
194.435783,-15.534476
199.563562,-15.531090
204.826574,-15.528036
210.228386,-15.525281
215.772657,-15.522797
221.463146,-15.520557
227.303707,-15.518537
233.298299,-15.516715
239.450985,-15.515073
245.765932,-15.513592
252.247422,-15.512256
258.899845,-15.511052
265.727710,-15.509967
272.735643,-15.508988
279.928394,-15.508106
287.310837,-15.507310
294.887974,-15.506593
302.664940,-15.505946
310.647005,-15.505363
318.839577,-15.504837
327.248209,-15.504363
335.878599,-15.503936
344.736595,-15.503550
353.828199,-15.503203
363.159572,-15.502889
372.737039,-15.502607
382.567088,-15.502352
392.656381,-15.502122
403.011755,-15.501915
413.640227,-15.501728
424.549000,-15.501560
435.745466,-15.501408
447.237211,-15.501271
459.032024,-15.501147
471.137897,-15.501036
483.563034,-15.500935
496.315854,-15.500845
509.404999,-15.500763
522.839339,-15.500689
536.627977,-15.500622
550.780258,-15.500562
565.305772,-15.500508
580.214361,-15.500459
595.516129,-15.500415
611.221444,-15.500375
627.340949,-15.500339
643.885568,-15.500307
660.866512,-15.500277
678.295288,-15.500251
696.183705,-15.500227
714.543888,-15.500205
733.388276,-15.500186
752.729639,-15.500168
772.581086,-15.500152
792.956066,-15.500138
813.868388,-15.500125
835.332223,-15.500113
857.362114,-15.500103
879.972992,-15.500093
903.180178,-15.500084
926.999397,-15.500076
951.446792,-15.500069
976.538928,-15.500063
1002.292809,-15.500057
1028.725888,-15.500052
1055.856076,-15.500047
1083.701757,-15.500043
1112.281802,-15.500039
1141.615578,-15.500035
1171.722961,-15.500032
1202.624355,-15.500029
1234.340700,-15.500027
1266.893487,-15.500024
1300.304776,-15.500022
1334.597209,-15.500020
1369.794022,-15.500018
1405.919067,-15.500017
1442.996824,-15.500015
1481.052418,-15.500014
1520.111637,-15.500013
1560.200950,-15.500012
1601.347523,-15.500011
1643.579239,-15.500010
1686.924715,-15.500009
1731.413324,-15.500008
1777.075215,-15.500008
1823.941328,-15.500007
1872.043424,-15.500006
1921.414097,-15.500006
1972.086804,-15.500005
2024.095882,-15.500005
2077.476576,-15.500005
2132.265057,-15.500004
2188.498455,-15.500004
2246.214873,-15.500004
2305.453425,-15.500003
2366.254251,-15.500003
2428.658554,-15.500003
2492.708622,-15.500003
2558.447857,-15.500002
2625.920808,-15.500002
2695.173196,-15.500002
2766.251950,-15.500002
2839.205237,-15.500002
2914.082493,-15.500002
2990.934457,-15.500002
3069.813209,-15.500001
3150.772199,-15.500001
3233.866289,-15.500001
3319.151787,-15.500001
3406.686486,-15.500001
3496.529704,-15.500001
3588.742322,-15.500001
3683.386828,-15.500001
3780.527356,-15.500001
3880.229734,-15.500001
3982.561524,-15.500001
4087.592070,-15.500001
4195.392546,-15.500001
4306.036002,-15.500001
4419.597415,-15.500001
4536.153739,-15.500001
4655.783958,-15.500000
4778.569137,-15.500000
4904.592483,-15.500000
5033.939393,-15.500000
5166.697519,-15.500000
5302.956824,-15.500000
5442.809642,-15.500000
5586.350744,-15.500000
5733.677400,-15.500000
5884.889444,-15.500000
6040.089345,-15.500000
6199.382272,-15.500000
6362.876170,-15.500000
6530.681829,-15.500000
6702.912961,-15.500000
6879.686278,-15.500000
7061.121569,-15.500000
7247.341782,-15.500000
7438.473109,-15.500000
7634.645067,-15.500000
7835.990593,-15.500000
8042.646125,-15.500000
8254.751704,-15.500000
8472.451061,-15.500000
8695.891718,-15.500000
8925.225088,-15.500000
9160.606579,-15.500000
9402.195694,-15.500000
9650.156144,-15.500000
9904.655960,-15.500000
10165.867600,-15.500000
10433.968073,-15.500000
10709.139055,-15.500000
10991.567015,-15.500000
11281.443337,-15.500000
11578.964455,-15.500000
11884.331982,-15.500000
12197.752848,-15.500000
12519.439440,-15.500000
12849.609748,-15.500000
13188.487509,-15.500000
13536.302361,-15.500000
13893.290000,-15.500000
14259.692334,-15.500000
14635.757655,-15.500000
15021.740800,-15.500000
15417.903328,-15.500000
15824.513697,-15.500000
16241.847443,-15.500000
16670.187369,-15.500000
17109.823738,-15.500000
17561.054466,-15.500000
18024.185326,-15.500000
18499.530157,-15.500000
18987.411071,-15.500000
19488.158680,-15.500000
20002.112310,-15.500000
20529.620240,-15.500000
21071.039931,-15.500000
21626.738273,-15.500000
22197.091831,-15.500000
22782.487102,-15.500000
23383.320774,-15.500000
24000.000000,-15.500000
